Parameters,Predictions,Actual,Errors
"[0.0, 0.0]",0.04727369709289775,0.3611237896889079,0.31385009259601016
"[0.0, 0.1]",0.14641340007044434,0.3008084312432589,0.15439503117281456
"[0.0, 0.2]",0.2455531030479909,0.9435696917288072,0.6980165886808163
"[0.0, 0.30000000000000004]",0.34469280602553753,1.0309390192497685,0.686246213224231
"[0.0, 0.4]",0.4438325090030841,1.0833809566763426,0.6395484476732585
"[0.0, 0.5]",0.5429722119806306,-0.7500552295237655,-1.293027441504396
"[0.0, 0.6000000000000001]",0.6421119149581773,2.0470107547851737,1.4048988398269964
"[0.0, 0.7000000000000001]",0.7412516179357238,-1.5926498522012404,-2.333901470136964
"[0.0, 0.8]",0.8403913209132704,0.7372752674970682,-0.10311605341620222
"[0.0, 0.9]",0.9395310238908169,0.22302498559112804,-0.7165060382996888
"[0.0, 1.0]",1.0386707268683635,1.6170509812875205,0.578380254419157
"[0.0, 1.1]",1.1378104298459102,2.647643550503078,1.509833120657168
"[0.0, 1.2000000000000002]",1.236950132823457,0.6415961363775469,-0.59535399644591
"[0.0, 1.3]",1.3360898358010032,2.579299846061856,1.2432100102608528
"[0.0, 1.4000000000000001]",1.4352295387785499,2.829084215583351,1.3938546768048012
"[0.0, 1.5]",1.5343692417560963,1.9815754878859777,0.44720624612988136
"[0.0, 1.6]",1.633508944733643,2.10818168376311,0.47467273902946716
"[0.0, 1.7000000000000002]",1.7326486477111898,0.3765771306558061,-1.3560715170553836
"[0.0, 1.8]",1.831788350688736,-0.021511016203454858,-1.8532993668921909
"[0.0, 1.9000000000000001]",1.9309280536662827,1.0915061956819438,-0.8394218579843389
"[0.0, 2.0]",2.030067756643829,4.506931842538388,2.476864085894559
"[0.0, 2.1]",2.1292074596213757,4.083299085228271,1.9540916256068952
"[0.0, 2.2]",2.2283471625989226,1.6704452379608674,-0.5579019246380552
"[0.0, 2.3000000000000003]",2.327486865576469,1.753261944477867,-0.5742249210986021
"[0.0, 2.4000000000000004]",2.426626568554016,2.820238110761887,0.393611542207871
"[0.0, 2.5]",2.525766271531562,2.440503795431798,-0.08526247609976423
"[0.0, 2.6]",2.6249059745091086,2.681861779555879,0.05695580504677045
"[0.0, 2.7]",2.7240456774866555,2.8037112580652654,0.07966558057860995
"[0.0, 2.8000000000000003]",2.823185380464202,1.7554885886902807,-1.0676967917739213
"[0.0, 2.9000000000000004]",2.922325083441749,3.215574085274189,0.2932490018324403
"[0.0, 3.0]",3.021464786419295,2.175913851651495,-0.8455509347677999
"[0.0, 3.1]",3.1206044893968414,3.374676296141232,0.25407180674439056
"[0.0, 3.2]",3.2197441923743884,3.1203069463248347,-0.09943724604955362
"[0.0, 3.3000000000000003]",3.318883895351935,3.852614887560314,0.5337309922083793
"[0.0, 3.4000000000000004]",3.4180235983294818,3.3467513320069475,-0.07127226632253425
"[0.0, 3.5]",3.517163301307028,4.523528535920895,1.0063652346138672
"[0.0, 3.6]",3.6163030042845743,3.341640790746714,-0.27466221353786047
"[0.0, 3.7]",3.7154427072621212,4.318934112069123,0.6034914048070021
"[0.0, 3.8000000000000003]",3.8145824102396677,3.8598545999747227,0.04527218973505498
"[0.0, 3.9000000000000004]",3.9137221132172146,4.599543895712171,0.6858217824949562
"[0.0, 4.0]",4.012861816194761,3.3543847348684226,-0.6584770813263381
"[0.0, 4.1000000000000005]",4.112001519172308,5.0919338364938405,0.9799323173215324
"[0.0, 4.2]",4.211141222149854,3.845564288225412,-0.3655769339244417
"[0.0, 4.3]",4.3102809251274,5.931554833938076,1.621273908810676
"[0.0, 4.4]",4.4094206281049475,2.869822601659072,-1.5395980264458755
"[0.0, 4.5]",4.508560331082494,4.967407039936676,0.4588467088541819
"[0.0, 4.6000000000000005]",4.6077000340600405,4.844497734599068,0.23679770053902782
"[0.0, 4.7]",4.706839737037587,3.844047773853302,-0.8627919631842849
"[0.0, 4.800000000000001]",4.805979440015134,5.705652385543549,0.8996729455284145
"[0.0, 4.9]",4.90511914299268,4.982302468495676,0.07718332550299589
"[0.0, 5.0]",5.004258845970226,4.860395321759978,-0.14386352421024817
"[0.0, 5.1000000000000005]",5.103398548947774,4.737178873509545,-0.366219675438229
"[0.0, 5.2]",5.202538251925319,6.002685156469466,0.8001469045441469
"[0.0, 5.300000000000001]",5.301677954902867,4.603264504475066,-0.6984134504278003
"[0.0, 5.4]",5.400817657880413,4.9177725313351095,-0.48304512654530374
"[0.0, 5.5]",5.499957360857959,5.246131866404402,-0.2538254944535572
"[0.0, 5.6000000000000005]",5.599097063835506,5.695628068414841,0.09653100457933483
"[0.0, 5.7]",5.698236766813053,5.2665456163406885,-0.43169115047236417
"[0.0, 5.800000000000001]",5.7973764697906,6.722707068256386,0.925330598465786
"[0.0, 5.9]",5.896516172768146,7.454981140900423,1.5584649681322773
"[0.0, 6.0]",5.995655875745692,4.526821584103362,-1.46883429164233
"[0.0, 6.1000000000000005]",6.0947955787232395,5.686602331191992,-0.40819324753124775
"[0.0, 6.2]",6.193935281700785,7.542966618815449,1.3490313371146643
"[0.0, 6.300000000000001]",6.2930749846783325,6.458026616164264,0.1649516314859314
"[0.0, 6.4]",6.392214687655879,6.711771932278042,0.31955724462216306
"[0.0, 6.5]",6.4913543906334255,8.155748475511677,1.6643940848782517
"[0.0, 6.6000000000000005]",6.590494093610972,7.466696864295096,0.8762027706841238
"[0.0, 6.7]",6.689633796588518,5.217437987045077,-1.4721958095434413
"[0.0, 6.800000000000001]",6.788773499566066,5.482523358810074,-1.306250140755992
"[0.0, 6.9]",6.887913202543611,5.998446874290656,-0.8894663282529551
"[0.0, 7.0]",6.987052905521158,7.082844530977602,0.09579162545644415
"[0.0, 7.1000000000000005]",7.086192608498705,6.379750388524599,-0.7064422199741065
"[0.0, 7.2]",7.185332311476251,7.78903394657415,0.6037016350978988
"[0.0, 7.300000000000001]",7.284472014453798,7.369208070627959,0.0847360561741608
"[0.0, 7.4]",7.383611717431345,8.000668819967627,0.6170571025362825
"[0.0, 7.5]",7.48275142040889,8.48736959965977,1.0046181792508797
"[0.0, 7.6000000000000005]",7.581891123386438,7.737634971195745,0.1557438478093074
"[0.0, 7.7]",7.681030826363984,6.298574490151342,-1.382456336212642
"[0.0, 7.800000000000001]",7.7801705293415315,6.862486251074939,-0.9176842782665924
"[0.0, 7.9]",7.879310232319077,8.168484501196831,0.2891742688777539
"[0.0, 8.0]",7.978449935296624,10.298439566018892,2.3199896307222687
"[0.0, 8.1]",8.07758963827417,7.327921051731134,-0.7496685865430353
"[0.0, 8.200000000000001]",8.176729341251718,9.578040785934895,1.4013114446831771
"[0.0, 8.3]",8.275869044229264,6.785225664336927,-1.4906433798923366
"[0.0, 8.4]",8.37500874720681,7.852959114368935,-0.5220496328378745
"[0.0, 8.5]",8.474148450184357,8.245174513993227,-0.22897393619112982
"[0.0, 8.6]",8.573288153161903,8.396946794009095,-0.1763413591528078
"[0.0, 8.700000000000001]",8.67242785613945,8.65084331486635,-0.021584541273099944
"[0.0, 8.8]",8.771567559116997,9.727122067416616,0.9555545082996186
"[0.0, 8.9]",8.870707262094543,8.46141732419879,-0.4092899378957533
"[0.0, 9.0]",8.96984696507209,9.182014583127515,0.2121676180554246
"[0.0, 9.1]",9.068986668049636,7.51355008957789,-1.5554365784717454
"[0.0, 9.200000000000001]",9.168126371027183,9.518038499926368,0.34991212889918444
"[0.0, 9.3]",9.26726607400473,10.694133440813292,1.4268673668085619
"[0.0, 9.4]",9.366405776982276,11.047286963087137,1.6808811861048607
"[0.0, 9.5]",9.465545479959822,10.38740932584839,0.9218638458885682
"[0.0, 9.600000000000001]",9.564685182937371,9.022858447401033,-0.541826735536338
"[0.0, 9.700000000000001]",9.663824885914917,8.508153080836628,-1.1556718050782884
"[0.0, 9.8]",9.762964588892462,10.351851358725735,0.5888867698332731
"[0.0, 9.9]",9.86210429187001,9.341247222749447,-0.520857069120563
"[0.0, 10.0]",9.961243994847555,10.158079184942515,0.1968351900949603
"[0.1, 0.0]",0.14701025423844738,0.25435593102016546,0.10734567678171808
"[0.1, 0.1]",0.24614995721599398,1.3565958675977787,1.1104459103817848
"[0.1, 0.2]",0.34528966019354057,-0.6014118799969914,-0.946701540190532
"[0.1, 0.30000000000000004]",0.44442936317108717,-1.809877543105289,-2.2543069062763763
"[0.1, 0.4]",0.5435690661486337,1.0088596437744728,0.46529057762583914
"[0.1, 0.5]",0.6427087691261802,0.6772602325956242,0.03455146346944393
"[0.1, 0.6000000000000001]",0.741848472103727,-1.0210391602925628,-1.7628876323962896
"[0.1, 0.7000000000000001]",0.8409881750812734,0.5730962310641792,-0.26789194401709426
"[0.1, 0.8]",0.94012787805882,0.07122482717971335,-0.8689030508791067
"[0.1, 0.9]",1.0392675810363665,2.7960107534011995,1.756743172364833
"[0.1, 1.0]",1.1384072840139132,1.4112934864494235,0.2728862024355103
"[0.1, 1.1]",1.23754698699146,1.5138905488152499,0.27634356182378994
"[0.1, 1.2000000000000002]",1.3366866899690066,0.03286472875071378,-1.3038219612182929
"[0.1, 1.3]",1.435826392946553,2.2891595632727975,0.8533331703262446
"[0.1, 1.4000000000000001]",1.5349660959240996,0.4554031595864598,-1.0795629363376398
"[0.1, 1.5]",1.634105798901646,1.5071422697071095,-0.12696352919453657
"[0.1, 1.6]",1.7332455018791928,-0.977531674106733,-2.7107771759859256
"[0.1, 1.7000000000000002]",1.8323852048567395,1.5834374816882355,-0.248947723168504
"[0.1, 1.8]",1.9315249078342858,1.2598869827375632,-0.6716379250967226
"[0.1, 1.9000000000000001]",2.0306646108118325,1.8413790032060633,-0.18928560760576918
"[0.1, 2.0]",2.129804313789379,2.1345058199510447,0.004701506161665758
"[0.1, 2.1]",2.2289440167669254,3.55404914893587,1.3251051321689444
"[0.1, 2.2]",2.3280837197444724,1.3729735081966186,-0.9551102115478538
"[0.1, 2.3000000000000003]",2.427223422722019,4.0603085296955665,1.6330851069735477
"[0.1, 2.4000000000000004]",2.526363125699566,2.402910271908358,-0.12345285379120785
"[0.1, 2.5]",2.625502828677112,3.293204044436726,0.6677012157596143
"[0.1, 2.6]",2.7246425316546583,3.6123613550253504,0.8877188233706921
"[0.1, 2.7]",2.8237822346322052,2.4362234833118386,-0.38755875132036666
"[0.1, 2.8000000000000003]",2.9229219376097517,2.5063899909193674,-0.4165319466903843
"[0.1, 2.9000000000000004]",3.0220616405872986,5.024668562718432,2.0026069221311333
"[0.1, 3.0]",3.1212013435648447,4.0242471773825725,0.9030458338177278
"[0.1, 3.1]",3.220341046542391,2.3182653852429507,-0.9020756612994405
"[0.1, 3.2]",3.319480749519938,2.5071055310433072,-0.8123752184766309
"[0.1, 3.3000000000000003]",3.4186204524974846,1.8518700135120332,-1.5667504389854514
"[0.1, 3.4000000000000004]",3.5177601554750315,2.4246739543907703,-1.0930862010842612
"[0.1, 3.5]",3.6168998584525776,3.9191305005679586,0.3022306421153811
"[0.1, 3.6]",3.716039561430124,4.368130347354122,0.6520907859239982
"[0.1, 3.7]",3.815179264407671,5.309509080009478,1.4943298156018074
"[0.1, 3.8000000000000003]",3.9143189673852175,1.4903588798622507,-2.4239600875229668
"[0.1, 3.9000000000000004]",4.013458670362764,3.9409615262152626,-0.07249714414750175
"[0.1, 4.0]",4.11259837334031,4.078699525567157,-0.033898847773152774
"[0.1, 4.1000000000000005]",4.211738076317857,5.156445673552959,0.9447075972351016
"[0.1, 4.2]",4.310877779295403,2.2208937705637024,-2.0899840087317005
"[0.1, 4.3]",4.410017482272949,4.352451144589615,-0.05756633768333419
"[0.1, 4.4]",4.509157185250497,5.820912172784446,1.3117549875339494
"[0.1, 4.5]",4.608296888228043,6.477306714209393,1.8690098259813501
"[0.1, 4.6000000000000005]",4.70743659120559,3.0241356764447223,-1.6833009147608675
"[0.1, 4.7]",4.806576294183136,4.516492294519706,-0.29008399966343035
"[0.1, 4.800000000000001]",4.905715997160684,3.7757569561151936,-1.12995904104549
"[0.1, 4.9]",5.004855700138229,4.500417105910008,-0.5044385942282208
"[0.1, 5.0]",5.103995403115776,4.317530959192755,-0.7864644439230206
"[0.1, 5.1000000000000005]",5.203135106093323,5.42610487229093,0.22296976619760667
"[0.1, 5.2]",5.302274809070869,4.745188824345857,-0.5570859847250116
"[0.1, 5.300000000000001]",5.401414512048416,3.9128856660682994,-1.4885288459801167
"[0.1, 5.4]",5.5005542150259625,5.190455240263647,-0.3100989747623153
"[0.1, 5.5]",5.599693918003508,5.926022507146361,0.3263285891428529
"[0.1, 5.6000000000000005]",5.6988336209810555,5.677310709883689,-0.02152291109736648
"[0.1, 5.7]",5.797973323958602,5.619869341551548,-0.1781039824070536
"[0.1, 5.800000000000001]",5.897113026936149,4.372522636352627,-1.5245903905835227
"[0.1, 5.9]",5.996252729913695,5.817700033911917,-0.1785526960017778
"[0.1, 6.0]",6.095392432891241,7.552125585321574,1.4567331524303322
"[0.1, 6.1000000000000005]",6.194532135868789,5.932580632279415,-0.2619515035893736
"[0.1, 6.2]",6.293671838846334,8.558681001934648,2.2650091630883136
"[0.1, 6.300000000000001]",6.392811541823882,6.784670781503908,0.39185923968002623
"[0.1, 6.4]",6.491951244801428,6.550652651689822,0.058701406888393315
"[0.1, 6.5]",6.591090947778975,4.699834745851659,-1.891256201927316
"[0.1, 6.6000000000000005]",6.690230650756521,6.804631184232214,0.11440053347569279
"[0.1, 6.7]",6.789370353734068,3.7279568366427864,-3.0614135170912813
"[0.1, 6.800000000000001]",6.888510056711615,7.098612871135983,0.21010281442436796
"[0.1, 6.9]",6.987649759689161,6.5361264909778525,-0.4515232687113082
"[0.1, 7.0]",7.086789462666707,6.072718465526556,-1.0140709971401511
"[0.1, 7.1000000000000005]",7.1859291656442545,6.185472867980961,-1.0004562976632938
"[0.1, 7.2]",7.2850688686218,6.640169647067425,-0.6448992215543754
"[0.1, 7.300000000000001]",7.3842085715993475,5.916333656663903,-1.4678749149354449
"[0.1, 7.4]",7.483348274576894,7.930408675268202,0.44706040069130815
"[0.1, 7.5]",7.58248797755444,7.412799824543378,-0.16968815301106144
"[0.1, 7.6000000000000005]",7.681627680531987,8.706226269059346,1.0245985885273594
"[0.1, 7.7]",7.7807673835095335,7.153038526016684,-0.6277288574928495
"[0.1, 7.800000000000001]",7.879907086487081,7.653207985727748,-0.22669910075933242
